date,n_events_total,n_events_oil,oil_goldstein_mean,oil_goldstein_std,oil_tone_mean,oil_tone_std,oil_mentions_sum,oil_articles_sum,oil_verbal_coop,oil_material_coop,oil_verbal_conflict,oil_material_conflict,oil_n_conflict_events,oil_conflict_goldstein,oil_conflict_share,oil_material_conflict_share,oil_net_coop,global_goldstein_mean,global_tone_mean
2025-12-09,123073,46381,0.633662491106272,4.66894059847036,-1.8818254759900856,4.187422438259896,493138,479166,28038,5810,5788,6745,6452,-7.739460632362058,0.2702184083999914,0.1454259287208124,0.45956318320001727,0.6424041016307394,-1.8581260961553945
2025-12-10,123631,48117,0.6572562711723506,4.603015135407291,-1.6359071066623507,4.187539690947407,502336,486306,29584,5663,6080,6790,6313,-7.649120861713924,0.26747303447845877,0.14111436706361577,0.4650539310430825,0.6897782055844954,-1.5819132329098506
2025-12-11,125835,49734,0.5491715928740901,4.638459372243179,-2.0012440157970794,4.233684007631109,528649,514731,29990,5965,6575,7204,6683,-7.775071075864133,0.27705392689106045,0.14485060521976917,0.4458921462178791,0.6430904452727028,-1.7882753387416963
2025-12-12,116705,46965,0.6552411370169275,4.614947040790018,-2.060415577386833,4.175928807683017,482531,470224,28145,5817,6353,6650,6162,-7.589272963323596,0.2768657510912382,0.1415948046417545,0.4462684978175237,0.724938948631164,-1.7833201046342255
2025-12-13,74469,29289,0.5526818942265014,4.755899856135249,-2.053869936066022,4.149399025693567,269385,263704,17637,3571,3600,4481,4134,-7.916545718432511,0.27590563010003755,0.15299259107514768,0.4481887397999249,0.568752098188508,-1.9388786971812297
2025-12-14,65094,21269,0.27551365837604025,4.888864031009228,-2.458479364788692,4.253351860224205,229615,224392,12752,2406,2647,3464,3328,-8.3390625,0.28731957308759226,0.1628661432131271,0.4253608538248155,0.0884382585184502,-2.681980851839129
2025-12-15,111302,38039,0.30953495097137146,4.820710747152905,-2.1362888740166226,4.230403672187189,405917,393185,22812,4302,4721,6204,5913,-8.085219008963302,0.28720523673072373,0.16309577013065538,0.42558952653855253,0.2954295520296131,-2.207067057902424
2025-12-16,117293,43924,0.35817093160914304,4.769272568023368,-2.095974452622307,4.22823786193714,406108,396027,26086,5247,5602,6989,6711,-7.927656087021308,0.28665422092705584,0.15911574537838083,0.42669155814588833,0.4242716956681131,-1.9320491986164048
2025-12-17,120993,46954,0.4355390382076074,4.74754962484375,-2.1175846113030574,4.204549567892334,473131,455095,27934,5691,5970,7359,6972,-7.871184738955822,0.2838735783958768,0.15672786131107042,0.43225284320824636,0.40108105427586715,-1.999232646758852
2025-12-18,121271,47506,0.5878162758388413,4.679854705032388,-2.0882012375823926,4.237160798423642,514985,497095,28594,5880,5985,7047,6644,-7.748540036122818,0.2743232433797836,0.14833915715909568,0.45135351324043277,0.577962579676922,-1.9703562322272954
